week_end,jurisdiction,rsv_ped_total,rsv_total,rsv_ped_0_4,season,in_fixed_window,state_abbrev,hhs_region,is_southeast,is_comparator
2024-07-06,Nebraska,0.0,0.0,,2024-2025,False,NE,7,False,False
2024-07-06,Oklahoma,0.0,0.0,,2024-2025,False,OK,6,False,False
2024-07-06,Pennsylvania,0.0,1.0,,2024-2025,False,PA,3,False,False
2024-07-06,Vermont,,,,2024-2025,False,VT,1,False,False
2024-07-06,Hawaii,0.0,0.0,,2024-2025,False,HI,9,False,False
2024-07-06,Massachusetts,,,,2024-2025,False,MA,1,False,False
2024-07-06,Maryland,0.0,0.0,,2024-2025,False,MD,3,False,False
2024-07-06,Maine,,,,2024-2025,False,ME,1,False,False
2024-07-06,Florida,0.0,0.0,,2024-2025,False,FL,4,False,False
2024-07-06,Michigan,0.0,0.0,,2024-2025,False,MI,5,False,False
2024-07-06,New Hampshire,,,,2024-2025,False,NH,1,False,False
2024-07-06,South Carolina,,,,2024-2025,False,SC,4,True,False
2024-07-06,Tennessee,,,,2024-2025,False,TN,4,True,False
2024-07-06,Utah,,,,2024-2025,False,UT,8,False,False
2024-07-06,Alaska,,,,2024-2025,False,AK,10,False,False
2024-07-06,Arizona,0.0,2.0,,2024-2025,False,AZ,9,False,False
2024-07-06,Kentucky,0.0,0.0,,2024-2025,False,KY,4,False,False
2024-07-06,Indiana,0.0,0.0,,2024-2025,False,IN,5,False,False
2024-07-06,Delaware,0.0,0.0,,2024-2025,False,DE,3,False,False
2024-07-06,Ohio,0.0,0.0,,2024-2025,False,OH,5,False,False
2024-07-06,Virginia,0.0,0.0,,2024-2025,False,VA,3,False,False
2024-07-06,District of Columbia,0.0,0.0,,2024-2025,False,DC,3,False,False
2024-07-06,Kansas,0.0,0.0,,2024-2025,False,KS,7,False,False
2024-07-06,Wyoming,0.0,0.0,,2024-2025,False,WY,8,False,False
2024-07-06,Nevada,,,,2024-2025,False,NV,9,False,False
2024-07-06,Washington,0.0,0.0,,2024-2025,False,WA,10,False,False
2024-07-06,Georgia,0.0,0.0,,2024-2025,False,GA,4,True,False
2024-07-06,Minnesota,,,,2024-2025,False,MN,5,False,True
2024-07-06,Missouri,0.0,0.0,,2024-2025,False,MO,7,False,False
2024-07-06,Idaho,,,,2024-2025,False,ID,10,False,False
2024-07-06,Connecticut,0.0,0.0,,2024-2025,False,CT,1,False,False
2024-07-06,Iowa,0.0,0.0,,2024-2025,False,IA,7,False,False
2024-07-06,North Dakota,0.0,0.0,,2024-2025,False,ND,8,False,False
2024-07-06,New Jersey,,,,2024-2025,False,NJ,2,False,False
2024-07-06,New Mexico,,,,2024-2025,False,NM,6,False,False
2024-07-06,Oregon,,,,2024-2025,False,OR,10,False,False
2024-07-06,Mississippi,0.0,0.0,,2024-2025,False,MS,4,True,False
2024-07-06,North Carolina,,,,2024-2025,False,NC,4,True,False
2024-07-06,California,0.0,0.0,,2024-2025,False,CA,9,False,False
2024-07-06,Montana,0.0,0.0,,2024-2025,False,MT,8,False,False
2024-07-06,Texas,0.0,0.0,,2024-2025,False,TX,6,False,False
2024-07-06,Wisconsin,0.0,0.0,,2024-2025,False,WI,5,False,False
2024-07-06,Alabama,0.0,0.0,,2024-2025,False,AL,4,True,False
2024-07-06,Colorado,0.0,0.0,,2024-2025,False,CO,8,False,False
2024-07-06,Rhode Island,,,,2024-2025,False,RI,1,False,False
2024-07-06,Arkansas,0.0,0.0,,2024-2025,False,AR,6,True,False
2024-07-06,Louisiana,0.0,1.0,,2024-2025,False,LA,6,True,False
2024-07-06,South Dakota,0.0,0.0,,2024-2025,False,SD,8,False,False
2024-07-06,New York,0.0,0.0,,2024-2025,False,NY,2,False,True
2024-07-06,Illinois,0.0,0.0,,2024-2025,False,IL,5,False,False
2024-07-06,West Virginia,,,,2024-2025,False,WV,3,False,False
2024-07-13,Nebraska,0.0,0.0,,2024-2025,False,NE,7,False,False
2024-07-13,Oklahoma,0.0,0.0,,2024-2025,False,OK,6,False,False
2024-07-13,Pennsylvania,0.0,0.0,,2024-2025,False,PA,3,False,False
2024-07-13,Vermont,,,,2024-2025,False,VT,1,False,False
2024-07-13,Hawaii,0.0,0.0,,2024-2025,False,HI,9,False,False
2024-07-13,Massachusetts,,,,2024-2025,False,MA,1,False,False
2024-07-13,Maryland,0.0,0.0,,2024-2025,False,MD,3,False,False
2024-07-13,Maine,,,,2024-2025,False,ME,1,False,False
2024-07-13,Florida,0.0,0.0,,2024-2025,False,FL,4,False,False
2024-07-13,Michigan,0.0,0.0,,2024-2025,False,MI,5,False,False
2024-07-13,New Hampshire,,,,2024-2025,False,NH,1,False,False
2024-07-13,South Carolina,,,,2024-2025,False,SC,4,True,False
2024-07-13,Tennessee,,,,2024-2025,False,TN,4,True,False
2024-07-13,Utah,,,,2024-2025,False,UT,8,False,False
2024-07-13,Alaska,,,,2024-2025,False,AK,10,False,False
2024-07-13,Arizona,0.0,4.0,,2024-2025,False,AZ,9,False,False
2024-07-13,Kentucky,0.0,0.0,,2024-2025,False,KY,4,False,False
2024-07-13,Indiana,0.0,0.0,,2024-2025,False,IN,5,False,False
2024-07-13,Delaware,0.0,0.0,,2024-2025,False,DE,3,False,False
2024-07-13,Ohio,0.0,0.0,,2024-2025,False,OH,5,False,False
2024-07-13,Virginia,0.0,0.0,,2024-2025,False,VA,3,False,False
