week_end,jurisdiction,rsv_pct,rsv_pct_smoothed,covid_pct,flu_pct,combined_pct,season,in_fixed_window,state_abbrev,hhs_region,is_southeast,is_comparator
2023-07-01,Massachusetts,0.01,0.01,0.48,0.05,0.54,2023-2024,False,MA,1,False,False
2023-07-01,Michigan,0.01,0.0,0.36,0.07,0.43,2023-2024,False,MI,5,False,False
2023-07-01,Mississippi,0.03,0.03,0.48,0.29,0.8,2023-2024,False,MS,4,True,False
2023-07-01,Oregon,0.01,0.0,0.72,0.05,0.77,2023-2024,False,OR,10,False,False
2023-07-01,Oklahoma,0.0,0.01,0.32,0.05,0.36,2023-2024,False,OK,6,False,False
2023-07-01,North Carolina,0.01,0.01,0.53,0.28,0.8,2023-2024,False,NC,4,True,False
2023-07-01,New York,0.01,0.01,0.32,0.09,0.41,2023-2024,False,NY,2,False,True
2023-07-01,Minnesota,0.01,0.01,0.37,0.07,0.44,2023-2024,False,MN,5,False,True
2023-07-01,Maryland,0.01,0.01,0.45,0.07,0.53,2023-2024,False,MD,3,False,False
2023-07-01,Indiana,0.01,0.02,0.23,0.05,0.29,2023-2024,False,IN,5,False,False
2023-07-01,Hawaii,0.04,0.03,1.95,1.01,2.99,2023-2024,False,HI,9,False,False
2023-07-01,Colorado,0.0,0.0,0.42,0.06,0.48,2023-2024,False,CO,8,False,False
2023-07-01,Virginia,0.02,0.02,0.49,0.12,0.63,2023-2024,False,VA,3,False,False
2023-07-01,Vermont,0.0,0.01,0.48,0.02,0.5,2023-2024,False,VT,1,False,False
2023-07-01,Utah,0.01,0.01,0.43,0.12,0.57,2023-2024,False,UT,8,False,False
2023-07-01,Pennsylvania,0.01,0.0,0.32,0.06,0.38,2023-2024,False,PA,3,False,False
2023-07-01,Ohio,0.01,0.01,0.25,0.03,0.29,2023-2024,False,OH,5,False,False
2023-07-01,Nebraska,0.02,0.01,0.24,0.03,0.29,2023-2024,False,NE,7,False,False
2023-07-01,Montana,0.0,0.0,0.4,0.06,0.46,2023-2024,False,MT,8,False,False
2023-07-01,Maine,0.0,0.0,0.34,0.04,0.38,2023-2024,False,ME,1,False,False
2023-07-01,Kansas,0.0,0.0,0.22,0.02,0.24,2023-2024,False,KS,7,False,False
2023-07-01,Florida,0.09,0.09,1.34,0.78,2.19,2023-2024,False,FL,4,False,False
2023-07-01,District of Columbia,0.03,0.02,0.49,0.04,0.56,2023-2024,False,DC,3,False,False
2023-07-01,Delaware,0.0,0.01,0.41,0.05,0.45,2023-2024,False,DE,3,False,False
2023-07-01,Arkansas,0.02,0.02,0.29,0.13,0.44,2023-2024,False,AR,6,True,False
2023-07-01,Nevada,0.01,0.01,0.71,0.2,0.91,2023-2024,False,NV,9,False,False
2023-07-01,New Hampshire,0.0,0.0,0.48,0.05,,2023-2024,False,NH,1,False,False
2023-07-01,New Jersey,0.01,0.01,0.34,0.1,0.45,2023-2024,False,NJ,2,False,False
2023-07-01,Washington,0.0,0.01,0.92,0.16,1.07,2023-2024,False,WA,10,False,False
2023-07-01,New Mexico,0.0,0.01,0.8,0.09,0.89,2023-2024,False,NM,6,False,False
2023-07-01,North Dakota,0.08,0.04,0.21,0.11,0.36,2023-2024,False,ND,8,False,False
2023-07-01,Kentucky,0.03,0.03,0.33,0.1,0.46,2023-2024,False,KY,4,False,False
2023-07-01,Wyoming,0.0,0.0,0.58,0.0,0.58,2023-2024,False,WY,8,False,False
2023-07-01,Wisconsin,0.0,0.0,0.23,0.04,0.28,2023-2024,False,WI,5,False,False
2023-07-01,Texas,0.06,0.05,0.49,0.21,0.75,2023-2024,False,TX,6,False,False
2023-07-01,South Dakota,0.0,0.01,0.31,0.11,,2023-2024,False,SD,8,False,False
2023-07-01,Rhode Island,0.02,0.02,0.36,0.07,0.44,2023-2024,False,RI,1,False,False
2023-07-01,Alabama,0.02,0.03,0.53,0.13,0.67,2023-2024,False,AL,4,True,False
2023-07-01,Tennessee,0.03,0.03,0.37,0.17,0.58,2023-2024,False,TN,4,True,False
2023-07-01,Alaska,0.03,0.03,1.45,0.34,1.82,2023-2024,False,AK,10,False,False
2023-07-01,California,0.01,0.01,0.7,0.1,0.81,2023-2024,False,CA,9,False,False
2023-07-01,Connecticut,0.01,0.01,0.39,0.06,0.46,2023-2024,False,CT,1,False,False
2023-07-01,Georgia,0.03,0.03,0.38,0.14,0.55,2023-2024,False,GA,4,True,False
2023-07-01,Idaho,0.0,0.0,0.45,0.13,0.58,2023-2024,False,ID,10,False,False
2023-07-01,South Carolina,0.04,0.03,0.53,0.15,0.72,2023-2024,False,SC,4,True,False
2023-07-01,West Virginia,0.0,0.02,0.29,0.05,0.33,2023-2024,False,WV,3,False,False
2023-07-01,Louisiana,0.04,0.04,0.87,0.18,1.09,2023-2024,False,LA,6,True,False
2023-07-01,Arizona,0.01,0.01,0.83,0.49,1.32,2023-2024,False,AZ,9,False,False
2023-07-01,Illinois,0.02,0.01,0.4,0.07,0.49,2023-2024,False,IL,5,False,False
2023-07-01,Iowa,0.04,0.05,0.77,0.21,0.97,2023-2024,False,IA,7,False,False
2023-07-08,Indiana,0.0,0.01,0.27,0.05,0.31,2023-2024,False,IN,5,False,False
2023-07-08,Rhode Island,0.0,0.02,0.33,0.06,0.39,2023-2024,False,RI,1,False,False
2023-07-08,Oregon,0.0,0.0,0.79,0.06,0.85,2023-2024,False,OR,10,False,False
2023-07-08,New Hampshire,0.02,0.01,0.63,0.07,,2023-2024,False,NH,1,False,False
2023-07-08,Nevada,0.01,0.01,0.75,0.27,1.02,2023-2024,False,NV,9,False,False
2023-07-08,Nebraska,0.0,0.01,0.14,0.02,0.15,2023-2024,False,NE,7,False,False
2023-07-08,Maine,0.0,0.0,0.45,0.02,0.47,2023-2024,False,ME,1,False,False
2023-07-08,Kentucky,0.04,0.03,0.38,0.08,0.49,2023-2024,False,KY,4,False,False
2023-07-08,Arkansas,0.02,0.02,0.28,0.16,0.46,2023-2024,False,AR,6,True,False
2023-07-08,Wyoming,0.0,0.0,0.55,0.14,0.66,2023-2024,False,WY,8,False,False
2023-07-08,Maryland,0.02,0.01,0.49,0.09,0.58,2023-2024,False,MD,3,False,False
2023-07-08,Colorado,0.01,0.01,0.41,0.07,0.5,2023-2024,False,CO,8,False,False
2023-07-08,Connecticut,0.0,0.01,0.42,0.04,0.46,2023-2024,False,CT,1,False,False
2023-07-08,Idaho,0.0,0.0,0.43,0.08,0.5,2023-2024,False,ID,10,False,False
2023-07-08,Iowa,0.02,0.04,0.74,0.19,0.94,2023-2024,False,IA,7,False,False
2023-07-08,Louisiana,0.02,0.03,1.07,0.14,1.22,2023-2024,False,LA,6,True,False
2023-07-08,Wisconsin,0.01,0.0,0.28,0.04,0.33,2023-2024,False,WI,5,False,False
2023-07-08,Utah,0.01,0.01,0.52,0.18,0.72,2023-2024,False,UT,8,False,False
2023-07-08,Texas,0.05,0.06,0.65,0.2,0.89,2023-2024,False,TX,6,False,False
2023-07-08,Massachusetts,0.01,0.01,0.49,0.08,0.57,2023-2024,False,MA,1,False,False
2023-07-08,Michigan,0.0,0.0,0.34,0.06,0.4,2023-2024,False,MI,5,False,False
2023-07-08,New Mexico,0.02,0.01,0.77,0.07,0.86,2023-2024,False,NM,6,False,False
2023-07-08,Oklahoma,0.03,0.01,0.34,0.03,0.4,2023-2024,False,OK,6,False,False
2023-07-08,West Virginia,0.0,0.01,0.24,0.04,0.28,2023-2024,False,WV,3,False,False
2023-07-08,Virginia,0.01,0.02,0.58,0.1,0.69,2023-2024,False,VA,3,False,False
2023-07-08,Pennsylvania,0.0,0.01,0.3,0.04,0.34,2023-2024,False,PA,3,False,False
2023-07-08,North Dakota,0.02,0.04,0.29,0.11,0.42,2023-2024,False,ND,8,False,False
2023-07-08,North Carolina,0.02,0.01,0.67,0.26,0.92,2023-2024,False,NC,4,True,False
2023-07-08,New York,0.01,0.01,0.36,0.08,0.44,2023-2024,False,NY,2,False,True
2023-07-08,New Jersey,0.0,0.01,0.35,0.07,0.43,2023-2024,False,NJ,2,False,False
2023-07-08,Minnesota,0.01,0.01,0.32,0.03,0.36,2023-2024,False,MN,5,False,True
2023-07-08,Alaska,0.0,0.01,1.98,0.31,2.25,2023-2024,False,AK,10,False,False
2023-07-08,Arizona,0.01,0.01,0.91,0.47,1.38,2023-2024,False,AZ,9,False,False
2023-07-08,California,0.01,0.01,0.78,0.11,0.9,2023-2024,False,CA,9,False,False
2023-07-08,District of Columbia,0.04,0.03,0.57,0.14,0.74,2023-2024,False,DC,3,False,False
2023-07-08,Florida,0.1,0.09,1.54,0.73,2.34,2023-2024,False,FL,4,False,False
2023-07-08,Illinois,0.02,0.01,0.45,0.07,0.54,2023-2024,False,IL,5,False,False
2023-07-08,Mississippi,0.02,0.02,0.59,0.28,0.88,2023-2024,False,MS,4,True,False
2023-07-08,Montana,0.04,0.01,0.54,0.05,0.62,2023-2024,False,MT,8,False,False
2023-07-08,Ohio,0.0,0.01,0.3,0.03,0.34,2023-2024,False,OH,5,False,False
2023-07-08,South Carolina,0.03,0.03,0.75,0.18,0.95,2023-2024,False,SC,4,True,False
2023-07-08,South Dakota,0.0,0.01,0.23,0.04,,2023-2024,False,SD,8,False,False
