Data Source,Metric,Season,Month,Month Metric Total,Month Metric Fraction
NHSN,"Pediatric RSV hospital admissions, ages 0-4",2025-2026,2025-07,361.0,0.00718593865079523
NHSN,"Pediatric RSV hospital admissions, ages 0-4",2025-2026,2025-08,459.0,0.009136692079542966
NHSN,"Pediatric RSV hospital admissions, ages 0-4",2025-2026,2025-09,677.0,0.013476123176145072
NHSN,"Pediatric RSV hospital admissions, ages 0-4",2025-2026,2025-10,1454.0,0.02894281107550212
NHSN,"Pediatric RSV hospital admissions, ages 0-4",2025-2026,2025-11,4176.0,0.08312598284133209
NHSN,"Pediatric RSV hospital admissions, ages 0-4",2025-2026,2025-12,7404.0,0.14738141210661465
NHSN,"Pediatric RSV hospital admissions, ages 0-4",2025-2026,2026-01,11445.0,0.22782013257161057
NHSN,"Pediatric RSV hospital admissions, ages 0-4",2025-2026,2026-02,10819.0,0.2153591974043036
NHSN,"Pediatric RSV hospital admissions, ages 0-4",2025-2026,2026-03,7920.0,0.15765272607838843
NHSN,"Pediatric RSV hospital admissions, ages 0-4",2025-2026,2026-04,2956.0,0.05884109321814599
NHSN,"Pediatric RSV hospital admissions, ages 0-4",2025-2026,2026-05,1936.0,0.03853733304138384
NHSN,"Pediatric RSV hospital admissions, ages 0-4",2025-2026,2026-06,630.0,0.012540557756235445
NSSP,"RSV ED visit percentage of total ED visits, all ages",2025-2026,2025-07,2.5,0.004049501101464299
NSSP,"RSV ED visit percentage of total ED visits, all ages",2025-2026,2025-08,3.65,0.005912271608137877
NSSP,"RSV ED visit percentage of total ED visits, all ages",2025-2026,2025-09,4.81,0.007791240119217312
NSSP,"RSV ED visit percentage of total ED visits, all ages",2025-2026,2025-10,9.5,0.015388104185564338
NSSP,"RSV ED visit percentage of total ED visits, all ages",2025-2026,2025-11,30.68,0.049695477517169885
NSSP,"RSV ED visit percentage of total ED visits, all ages",2025-2026,2025-12,66.29,0.10737657120642738
NSSP,"RSV ED visit percentage of total ED visits, all ages",2025-2026,2026-01,126.73,0.20527730983542827
NSSP,"RSV ED visit percentage of total ED visits, all ages",2025-2026,2026-02,137.01,0.22192885836464946
NSSP,"RSV ED visit percentage of total ED visits, all ages",2025-2026,2026-03,128.9,0.20879227679149928
NSSP,"RSV ED visit percentage of total ED visits, all ages",2025-2026,2026-04,70.53,0.11424452507451081
NSSP,"RSV ED visit percentage of total ED visits, all ages",2025-2026,2026-05,30.330000000000002,0.04912854736296488
NSSP,"RSV ED visit percentage of total ED visits, all ages",2025-2026,2026-06,6.43,0.010415316832966178
