datasource,metric_label,season,jurisdiction,scenario_id,scenario_label,baseline_population_activity_weighted_protection,early_population_activity_weighted_protection,infant_population_under1,age_desc,population_year,population_source,population_source_url,incremental_population_activity_weighted_protection,baseline_hospitalization_risk_per_infant_season,baseline_hospitalization_risk_per_1000_infants,comparison_window_name,comparison_window_label,baseline_window_name,baseline_window_label,hospitalization_burden_source,population_source_note,hospitalizations_averted_early_vs_baseline,hospitalizations_averted_vs_baseline,hospitalizations_averted_per_100k_infants
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Alabama,uptake_100,Uptake 100%; otherwise reference,0.43032018158829616,0.5487868537575815,57885,Age under 1 year,2023,"U.S. Census Bureau Population Estimates Program, Vintage 2023 Annual Resident Population Estimates by Single Year of Age and Sex","https://api.census.gov/data/2023/pep/charv?get=NAME,POP,AGE_DESC,YEAR&for=state:*&YEAR=2023&AGE=0001&SEX=0",0.11846667216928536,0.011774214704994403,11.774214704994403,early_sep_mar,Early Sep-Mar,baseline_oct_mar,Baseline Oct-Mar,"Pelletier et al. JAMA Network Open 2025 untreated infants: 2,535 RSV-associated hospitalizations among 215,301 untreated infants.","U.S. Census Bureau Population Estimates Program, Vintage 2023 Annual Resident Population Estimates by Single Year of Age and Sex, age under 1 year.",80.741009959573,80.741009959573,139.4852033507351
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Alaska,uptake_100,Uptake 100%; otherwise reference,0.5575130063749821,0.6266938817717199,9224,Age under 1 year,2023,"U.S. Census Bureau Population Estimates Program, Vintage 2023 Annual Resident Population Estimates by Single Year of Age and Sex","https://api.census.gov/data/2023/pep/charv?get=NAME,POP,AGE_DESC,YEAR&for=state:*&YEAR=2023&AGE=0001&SEX=0",0.06918087539673778,0.011774214704994403,11.774214704994403,early_sep_mar,Early Sep-Mar,baseline_oct_mar,Baseline Oct-Mar,"Pelletier et al. JAMA Network Open 2025 untreated infants: 2,535 RSV-associated hospitalizations among 215,301 untreated infants.","U.S. Census Bureau Population Estimates Program, Vintage 2023 Annual Resident Population Estimates by Single Year of Age and Sex, age under 1 year.",7.513413631215646,7.513413631215646,81.45504804006556
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Arizona,uptake_100,Uptake 100%; otherwise reference,0.5832955122157074,0.6464309095611648,78075,Age under 1 year,2023,"U.S. Census Bureau Population Estimates Program, Vintage 2023 Annual Resident Population Estimates by Single Year of Age and Sex","https://api.census.gov/data/2023/pep/charv?get=NAME,POP,AGE_DESC,YEAR&for=state:*&YEAR=2023&AGE=0001&SEX=0",0.06313539734545737,0.011774214704994403,11.774214704994403,early_sep_mar,Early Sep-Mar,baseline_oct_mar,Baseline Oct-Mar,"Pelletier et al. JAMA Network Open 2025 untreated infants: 2,535 RSV-associated hospitalizations among 215,301 untreated infants.","U.S. Census Bureau Population Estimates Program, Vintage 2023 Annual Resident Population Estimates by Single Year of Age and Sex, age under 1 year.",58.03859118807009,58.03859118807009,74.33697238305487
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Arkansas,uptake_100,Uptake 100%; otherwise reference,0.5209489775713902,0.6039927783930156,35297,Age under 1 year,2023,"U.S. Census Bureau Population Estimates Program, Vintage 2023 Annual Resident Population Estimates by Single Year of Age and Sex","https://api.census.gov/data/2023/pep/charv?get=NAME,POP,AGE_DESC,YEAR&for=state:*&YEAR=2023&AGE=0001&SEX=0",0.08304380082162532,0.011774214704994403,11.774214704994403,early_sep_mar,Early Sep-Mar,baseline_oct_mar,Baseline Oct-Mar,"Pelletier et al. JAMA Network Open 2025 untreated infants: 2,535 RSV-associated hospitalizations among 215,301 untreated infants.","U.S. Census Bureau Population Estimates Program, Vintage 2023 Annual Resident Population Estimates by Single Year of Age and Sex, age under 1 year.",34.512543263356655,34.512543263356655,97.77755407926072
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,California,uptake_100,Uptake 100%; otherwise reference,0.5453286743967269,0.6227211043567945,415125,Age under 1 year,2023,"U.S. Census Bureau Population Estimates Program, Vintage 2023 Annual Resident Population Estimates by Single Year of Age and Sex","https://api.census.gov/data/2023/pep/charv?get=NAME,POP,AGE_DESC,YEAR&for=state:*&YEAR=2023&AGE=0001&SEX=0",0.07739242996006757,0.011774214704994403,11.774214704994403,early_sep_mar,Early Sep-Mar,baseline_oct_mar,Baseline Oct-Mar,"Pelletier et al. JAMA Network Open 2025 untreated infants: 2,535 RSV-associated hospitalizations among 215,301 untreated infants.","U.S. Census Bureau Population Estimates Program, Vintage 2023 Annual Resident Population Estimates by Single Year of Age and Sex, age under 1 year.",378.2764654456583,378.2764654456583,91.1235086891077
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Colorado,uptake_100,Uptake 100%; otherwise reference,0.5951430652558237,0.6528491339564105,62168,Age under 1 year,2023,"U.S. Census Bureau Population Estimates Program, Vintage 2023 Annual Resident Population Estimates by Single Year of Age and Sex","https://api.census.gov/data/2023/pep/charv?get=NAME,POP,AGE_DESC,YEAR&for=state:*&YEAR=2023&AGE=0001&SEX=0",0.05770606870058681,0.011774214704994403,11.774214704994403,early_sep_mar,Early Sep-Mar,baseline_oct_mar,Baseline Oct-Mar,"Pelletier et al. JAMA Network Open 2025 untreated infants: 2,535 RSV-associated hospitalizations among 215,301 untreated infants.","U.S. Census Bureau Population Estimates Program, Vintage 2023 Annual Resident Population Estimates by Single Year of Age and Sex, age under 1 year.",42.23965237700291,42.23965237700291,67.94436426618665
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Connecticut,uptake_100,Uptake 100%; otherwise reference,0.5078791528816755,0.6010585790461432,34935,Age under 1 year,2023,"U.S. Census Bureau Population Estimates Program, Vintage 2023 Annual Resident Population Estimates by Single Year of Age and Sex","https://api.census.gov/data/2023/pep/charv?get=NAME,POP,AGE_DESC,YEAR&for=state:*&YEAR=2023&AGE=0001&SEX=0",0.09317942616446773,0.011774214704994403,11.774214704994403,early_sep_mar,Early Sep-Mar,baseline_oct_mar,Baseline Oct-Mar,"Pelletier et al. JAMA Network Open 2025 untreated infants: 2,535 RSV-associated hospitalizations among 215,301 untreated infants.","U.S. Census Bureau Population Estimates Program, Vintage 2023 Annual Resident Population Estimates by Single Year of Age and Sex, age under 1 year.",38.32769749416791,38.32769749416791,109.71145697486162
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Delaware,uptake_100,Uptake 100%; otherwise reference,0.45638580355716757,0.5701674228695257,10745,Age under 1 year,2023,"U.S. Census Bureau Population Estimates Program, Vintage 2023 Annual Resident Population Estimates by Single Year of Age and Sex","https://api.census.gov/data/2023/pep/charv?get=NAME,POP,AGE_DESC,YEAR&for=state:*&YEAR=2023&AGE=0001&SEX=0",0.11378161931235814,0.011774214704994403,11.774214704994403,early_sep_mar,Early Sep-Mar,baseline_oct_mar,Baseline Oct-Mar,"Pelletier et al. JAMA Network Open 2025 untreated infants: 2,535 RSV-associated hospitalizations among 215,301 untreated infants.","U.S. Census Bureau Population Estimates Program, Vintage 2023 Annual Resident Population Estimates by Single Year of Age and Sex, age under 1 year.",14.394960618029327,14.394960618029327,133.96892152656426
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,District of Columbia,uptake_100,Uptake 100%; otherwise reference,0.3900432254770624,0.5262237235186418,7791,Age under 1 year,2023,"U.S. Census Bureau Population Estimates Program, Vintage 2023 Annual Resident Population Estimates by Single Year of Age and Sex","https://api.census.gov/data/2023/pep/charv?get=NAME,POP,AGE_DESC,YEAR&for=state:*&YEAR=2023&AGE=0001&SEX=0",0.1361804980415794,0.011774214704994403,11.774214704994403,early_sep_mar,Early Sep-Mar,baseline_oct_mar,Baseline Oct-Mar,"Pelletier et al. JAMA Network Open 2025 untreated infants: 2,535 RSV-associated hospitalizations among 215,301 untreated infants.","U.S. Census Bureau Population Estimates Program, Vintage 2023 Annual Resident Population Estimates by Single Year of Age and Sex, age under 1 year.",12.492232930278908,12.492232930278908,160.34184225746256
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Florida,uptake_100,Uptake 100%; otherwise reference,0.3382208836692966,0.46568195489742364,224670,Age under 1 year,2023,"U.S. Census Bureau Population Estimates Program, Vintage 2023 Annual Resident Population Estimates by Single Year of Age and Sex","https://api.census.gov/data/2023/pep/charv?get=NAME,POP,AGE_DESC,YEAR&for=state:*&YEAR=2023&AGE=0001&SEX=0",0.12746107122812705,0.011774214704994403,11.774214704994403,early_sep_mar,Early Sep-Mar,baseline_oct_mar,Baseline Oct-Mar,"Pelletier et al. JAMA Network Open 2025 untreated infants: 2,535 RSV-associated hospitalizations among 215,301 untreated infants.","U.S. Census Bureau Population Estimates Program, Vintage 2023 Annual Resident Population Estimates by Single Year of Age and Sex, age under 1 year.",337.1744054865987,337.1744054865987,150.07540191685527
