season,datasource,age_group,metric,point_estimate,ci_lower,ci_upper,n_states
2024-2025,nhsn,rsv_ped_0_4,median_outside_fraction,0.05657604702424688,0.04963235294117647,0.06666666666666667,51
2025-2026,nhsn,rsv_ped_0_4,median_outside_fraction,0.1388888888888889,0.1193029490616622,0.15948670944087992,51
2024-2025,nhsn,rsv_ped_0_4,median_coverage_baseline_oct_mar,0.9434239529757531,0.9333333333333333,0.9503676470588235,51
2024-2025,nhsn,rsv_ped_0_4,median_coverage_early_sep_mar,0.9434239529757531,0.9333333333333333,0.9503676470588235,51
2024-2025,nhsn,rsv_ped_0_4,median_coverage_late_oct_apr,0.9807692307692307,0.9791666666666666,0.9835125448028674,51
2025-2026,nhsn,rsv_ped_0_4,median_coverage_baseline_oct_mar,0.8611111111111112,0.84051329055912,0.8806970509383378,51
2025-2026,nhsn,rsv_ped_0_4,median_coverage_early_sep_mar,0.8732394366197183,0.8464163822525598,0.8883566691230655,51
2025-2026,nhsn,rsv_ped_0_4,median_coverage_late_oct_apr,0.9282700421940928,0.9188820722563054,0.9373072970195272,51
2024-2025,nhsn,rsv_ped_0_4,median_outside_fraction,0.05657604702424688,0.04963235294117647,0.06666666666666667,51
2025-2026,nhsn,rsv_ped_0_4,median_outside_fraction,0.1388888888888889,0.1193029490616622,0.15948670944087992,51
2024-2025,nhsn,rsv_ped_0_4,median_coverage_baseline_oct_mar,0.9434239529757531,0.9333333333333333,0.9503676470588235,51
2024-2025,nhsn,rsv_ped_0_4,median_coverage_early_sep_mar,0.9434239529757531,0.9333333333333333,0.9503676470588235,51
2024-2025,nhsn,rsv_ped_0_4,median_coverage_late_oct_apr,0.9807692307692307,0.9791666666666666,0.9835125448028674,51
2025-2026,nhsn,rsv_ped_0_4,median_coverage_baseline_oct_mar,0.8611111111111112,0.84051329055912,0.8806970509383378,51
2025-2026,nhsn,rsv_ped_0_4,median_coverage_early_sep_mar,0.8732394366197183,0.8464163822525598,0.8883566691230655,51
2025-2026,nhsn,rsv_ped_0_4,median_coverage_late_oct_apr,0.9282700421940928,0.9188820722563054,0.9373072970195272,51
2024-2025,nhsn,rsv_ped_total,median_outside_fraction,0.055612770339855816,0.04987735077677841,0.06595092024539877,51
2025-2026,nhsn,rsv_ped_total,median_outside_fraction,0.1361111111111111,0.1171875,0.15789473684210525,51
2024-2025,nhsn,rsv_ped_total,median_coverage_baseline_oct_mar,0.9443872296601442,0.9340490797546013,0.9501226492232215,51
2024-2025,nhsn,rsv_ped_total,median_coverage_early_sep_mar,0.9443872296601442,0.9342359767891683,0.9501226492232215,51
2024-2025,nhsn,rsv_ped_total,median_coverage_late_oct_apr,0.9809885931558935,0.9783228750713063,0.9830148619957537,51
2025-2026,nhsn,rsv_ped_total,median_coverage_baseline_oct_mar,0.8638888888888889,0.8421052631578947,0.8828125,51
2025-2026,nhsn,rsv_ped_total,median_coverage_early_sep_mar,0.8771929824561403,0.8477732793522267,0.890818858560794,51
2025-2026,nhsn,rsv_ped_total,median_coverage_late_oct_apr,0.9315068493150684,0.9222222222222223,0.9426229508196722,51
2024-2025,nhsn,rsv_total,median_outside_fraction,0.0794392523364486,0.06848177969618992,0.10703363914373089,51
2025-2026,nhsn,rsv_total,median_outside_fraction,0.16890184645286685,0.14830072090628219,0.20922570016474465,51
2024-2025,nhsn,rsv_total,median_coverage_baseline_oct_mar,0.9205607476635514,0.8929663608562691,0.93151822030381,51
2024-2025,nhsn,rsv_total,median_coverage_early_sep_mar,0.9205607476635514,0.8930357142857143,0.93151822030381,51
2024-2025,nhsn,rsv_total,median_coverage_late_oct_apr,0.9731870810481413,0.9671361502347418,0.9767088607594937,51
2025-2026,nhsn,rsv_total,median_coverage_baseline_oct_mar,0.8310981535471331,0.7907742998352554,0.8516992790937178,51
2025-2026,nhsn,rsv_total,median_coverage_early_sep_mar,0.8357276702061212,0.8042462845010616,0.8527291452111225,51
2025-2026,nhsn,rsv_total,median_coverage_late_oct_apr,0.9199625555815586,0.9155591903496217,0.9256965944272446,51
