season,datasource,age_group,metric,point_estimate,ci_lower,ci_upper,n_states
2024-2025,nhsn,rsv_ped_0_4,median_outside_fraction,0.055845511482254695,0.04963235294117647,0.06666666666666667,51
2025-2026,nhsn,rsv_ped_0_4,median_outside_fraction,0.0943342776203966,0.07058823529411765,0.10766721044045677,51
2024-2025,nhsn,rsv_ped_0_4,median_coverage_baseline_oct_mar,0.9441544885177453,0.9333333333333333,0.9503676470588235,51
2024-2025,nhsn,rsv_ped_0_4,median_coverage_early_sep_mar,0.9441544885177453,0.9333333333333333,0.9503676470588235,51
2024-2025,nhsn,rsv_ped_0_4,median_coverage_extended_sep_apr,0.9807692307692307,0.9797794117647058,0.9835125448028674,51
2024-2025,nhsn,rsv_ped_0_4,median_coverage_late_oct_apr,0.9807692307692307,0.9797794117647058,0.9835125448028674,51
2025-2026,nhsn,rsv_ped_0_4,median_coverage_baseline_oct_mar,0.9056657223796034,0.8923327895595432,0.9294117647058824,51
2025-2026,nhsn,rsv_ped_0_4,median_coverage_early_sep_mar,0.9243697478991597,0.9086294416243654,0.937402799377916,51
2025-2026,nhsn,rsv_ped_0_4,median_coverage_extended_sep_apr,0.9913700107874865,0.9880554228380315,0.9947643979057592,51
2025-2026,nhsn,rsv_ped_0_4,median_coverage_late_oct_apr,0.9838187702265372,0.9774193548387097,0.9892638036809815,51
