window_name,season,jurisdiction,total_burden,inside_burden,coverage,missed_fraction,metric_label
baseline_oct_mar,2024-2025,Alabama,2247.0,2056.0,0.914997774810859,0.08500222518914102,"RSV hospital admissions, all ages"
early_sep_mar,2024-2025,Alabama,2247.0,2056.0,0.914997774810859,0.08500222518914102,"RSV hospital admissions, all ages"
late_oct_apr,2024-2025,Alabama,2247.0,2163.0,0.9626168224299065,0.03738317757009346,"RSV hospital admissions, all ages"
baseline_oct_mar,2024-2025,Alaska,418.0,371.0,0.8875598086124402,0.11244019138755978,"RSV hospital admissions, all ages"
early_sep_mar,2024-2025,Alaska,418.0,371.0,0.8875598086124402,0.11244019138755978,"RSV hospital admissions, all ages"
late_oct_apr,2024-2025,Alaska,418.0,399.0,0.9545454545454546,0.045454545454545414,"RSV hospital admissions, all ages"
baseline_oct_mar,2024-2025,Arizona,4753.0,4475.0,0.9415106248685041,0.05848937513149588,"RSV hospital admissions, all ages"
early_sep_mar,2024-2025,Arizona,4753.0,4478.0,0.9421418051756785,0.05785819482432153,"RSV hospital admissions, all ages"
late_oct_apr,2024-2025,Arizona,4753.0,4652.0,0.9787502629917947,0.021249737008205316,"RSV hospital admissions, all ages"
baseline_oct_mar,2024-2025,Arkansas,1308.0,1168.0,0.8929663608562691,0.10703363914373087,"RSV hospital admissions, all ages"
early_sep_mar,2024-2025,Arkansas,1308.0,1168.0,0.8929663608562691,0.10703363914373087,"RSV hospital admissions, all ages"
late_oct_apr,2024-2025,Arkansas,1308.0,1247.0,0.9533639143730887,0.04663608562691135,"RSV hospital admissions, all ages"
baseline_oct_mar,2024-2025,California,12047.0,11222.0,0.93151822030381,0.06848177969618996,"RSV hospital admissions, all ages"
early_sep_mar,2024-2025,California,12047.0,11222.0,0.93151822030381,0.06848177969618996,"RSV hospital admissions, all ages"
late_oct_apr,2024-2025,California,12047.0,11786.0,0.9783348551506599,0.021665144849340123,"RSV hospital admissions, all ages"
