datasource,season,jurisdiction,window_name,window_label,birth_month,median_person_activity_fractional_protection,mean_person_activity_fractional_protection,share_receiving_ppx,total_activity_exposure_weight
nhsn,2024-2025,Alabama,baseline_oct_mar,Baseline Oct-Mar,2024-02,0.0,0.0,0.0,0.6263736263736264
nhsn,2024-2025,Alabama,baseline_oct_mar,Baseline Oct-Mar,2024-03,0.0,0.028670705294847318,0.03425483870967742,38.155677655677664
nhsn,2024-2025,Alabama,baseline_oct_mar,Baseline Oct-Mar,2024-04,0.1533202196234774,0.15159283200736604,0.18499999999999991,153.33699633699632
nhsn,2024-2025,Alabama,baseline_oct_mar,Baseline Oct-Mar,2024-05,0.13153520734466786,0.1296772249850006,0.18499999999999997,250.43772893772893
nhsn,2024-2025,Alabama,baseline_oct_mar,Baseline Oct-Mar,2024-06,0.15144962749973645,0.15006871752622344,0.18499999999999991,272.7893772893773
nhsn,2024-2025,Alabama,baseline_oct_mar,Baseline Oct-Mar,2024-07,0.13461735094155083,0.13249456153042236,0.18499999999999997,298.4926739926739
nhsn,2024-2025,Alabama,baseline_oct_mar,Baseline Oct-Mar,2024-08,0.15092674905794679,0.1506621499922938,0.18499999999999997,311.7344322344321
nhsn,2024-2025,Alabama,baseline_oct_mar,Baseline Oct-Mar,2024-09,0.14903690252678325,0.1489878317704934,0.18499999999999991,310.10622710622715
nhsn,2024-2025,Alabama,baseline_oct_mar,Baseline Oct-Mar,2024-10,0.1471930216715418,0.1449043960435565,0.185,327.23809523809524
nhsn,2024-2025,Alabama,baseline_oct_mar,Baseline Oct-Mar,2024-11,0.13373420479009984,0.12789718785610035,0.18499999999999997,282.3644688644689
nhsn,2024-2025,Alabama,baseline_oct_mar,Baseline Oct-Mar,2024-12,0.11748321622968062,0.11561048029611133,0.185,170.7197802197802
nhsn,2024-2025,Alabama,baseline_oct_mar,Baseline Oct-Mar,2025-01,0.12781635506598663,0.12576399851023903,0.185,78.94505494505495
nhsn,2024-2025,Alabama,baseline_oct_mar,Baseline Oct-Mar,2025-02,0.1323276258869336,0.13019925431472534,0.185,44.33150183150183
nhsn,2024-2025,Alabama,baseline_oct_mar,Baseline Oct-Mar,2025-03,0.12966535960630277,0.09346788722283733,0.12500891612903228,33.014652014652015
