season,jurisdiction,peak_week,peak_value,material_weeks_total,material_weeks_outside,material_burden_total,material_burden_outside,material_burden_outside_frac,metric_label
2024-2025,Alabama,2024-11-30,78.33333333333333,13,0,661.0,0.0,0.0,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Alaska,2024-12-28,15.333333333333334,19,0,153.0,0.0,0.0,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Arizona,2025-02-15,187.66666666666666,15,0,1669.0,0.0,0.0,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Arkansas,2025-02-15,24.666666666666668,24,3,321.0,18.0,0.05128205128205128,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,California,2024-12-28,322.6666666666667,20,0,4076.0,0.0,0.0,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Colorado,2025-02-15,133.0,19,2,1748.0,84.0,0.044444444444444446,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Connecticut,2024-12-28,56.333333333333336,15,0,435.0,0.0,0.0,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Delaware,2024-12-28,64.66666666666667,12,0,435.0,0.0,0.0,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,District of Columbia,2025-02-22,4.333333333333333,3,0,13.0,0.0,0.0,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Florida,2024-11-23,224.0,23,0,3013.0,0.0,0.0,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Georgia,2024-11-30,212.33333333333334,12,0,1730.0,0.0,0.0,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Hawaii,2024-11-23,16.666666666666668,24,1,236.0,2.0,0.007434944237918215,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Idaho,2025-02-22,43.333333333333336,17,1,432.0,15.0,0.032327586206896554,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Illinois,2024-12-28,263.3333333333333,14,0,2033.0,0.0,0.0,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Indiana,2024-12-28,115.66666666666667,19,0,1246.0,0.0,0.0,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Iowa,2025-02-01,54.333333333333336,18,1,618.0,9.0,0.013062409288824383,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Kansas,2025-02-08,43.666666666666664,16,0,492.0,0.0,0.0,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Kentucky,2024-12-28,101.66666666666667,17,0,832.0,0.0,0.0,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Louisiana,2024-12-14,98.0,15,0,904.0,0.0,0.0,"Pediatric RSV hospital admissions, ages 0-4"
