season,jurisdiction,total_burden,inside_burden,outside_burden,outside_fraction,metric_label
2024-2025,Alabama,833.0,766.0,67.0,0.08043217286914765,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Alaska,175.0,164.0,11.0,0.06285714285714286,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Arizona,1817.0,1769.0,48.0,0.026417171161254815,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Arkansas,351.0,303.0,48.0,0.13675213675213677,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,California,4425.0,4195.0,230.0,0.0519774011299435,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Colorado,1890.0,1727.0,163.0,0.08624338624338625,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Connecticut,511.0,498.0,13.0,0.025440313111545987,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Delaware,523.0,505.0,18.0,0.03441682600382409,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,District of Columbia,15.0,14.0,1.0,0.06666666666666667,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Florida,3489.0,3062.0,427.0,0.12238463743192891,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Georgia,2030.0,1949.0,81.0,0.039901477832512314,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Hawaii,269.0,240.0,29.0,0.10780669144981413,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Idaho,464.0,427.0,37.0,0.07974137931034483,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Illinois,2390.0,2301.0,89.0,0.037238493723849374,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Indiana,1361.0,1284.0,77.0,0.05657604702424688,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Iowa,689.0,641.0,48.0,0.06966618287373004,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Kansas,544.0,517.0,27.0,0.04963235294117647,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Kentucky,1005.0,918.0,87.0,0.08656716417910448,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Louisiana,1033.0,982.0,51.0,0.049370764762826716,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Maine,152.0,138.0,14.0,0.09210526315789473,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Maryland,739.0,717.0,22.0,0.029769959404600813,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Massachusetts,1563.0,1490.0,73.0,0.04670505438259757,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Michigan,2529.0,2393.0,136.0,0.053776196124950576,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Minnesota,1395.0,1303.0,92.0,0.06594982078853047,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Mississippi,547.0,518.0,29.0,0.05301645338208409,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Missouri,1165.0,1035.0,130.0,0.11158798283261803,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Montana,304.0,259.0,45.0,0.14802631578947367,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Nebraska,539.0,494.0,45.0,0.08348794063079777,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Nevada,643.0,615.0,28.0,0.04354587869362364,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,New Hampshire,189.0,180.0,9.0,0.047619047619047616,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,New Jersey,2086.0,2005.0,81.0,0.03883029721955897,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,New Mexico,884.0,839.0,45.0,0.05090497737556561,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,New York,4299.0,4105.0,194.0,0.04512677366829495,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,North Carolina,2169.0,2042.0,127.0,0.05855232826187183,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,North Dakota,240.0,207.0,33.0,0.1375,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Ohio,3272.0,3108.0,164.0,0.05012224938875306,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Oklahoma,720.0,698.0,22.0,0.030555555555555555,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Oregon,714.0,678.0,36.0,0.05042016806722689,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Pennsylvania,3665.0,3515.0,150.0,0.040927694406548434,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Rhode Island,306.0,301.0,5.0,0.016339869281045753,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,South Carolina,877.0,826.0,51.0,0.05815279361459521,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,South Dakota,261.0,215.0,46.0,0.17624521072796934,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Tennessee,1531.0,1456.0,75.0,0.04898758981058132,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Texas,7471.0,7190.0,281.0,0.0376121001204658,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Utah,1497.0,1406.0,91.0,0.06078824315297261,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Vermont,62.0,56.0,6.0,0.0967741935483871,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Virginia,764.0,729.0,35.0,0.04581151832460733,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Washington,494.0,464.0,30.0,0.06072874493927125,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,West Virginia,655.0,570.0,85.0,0.1297709923664122,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Wisconsin,907.0,846.0,61.0,0.06725468577728776,"Pediatric RSV hospital admissions, ages 0-4"
2024-2025,Wyoming,270.0,238.0,32.0,0.11851851851851852,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Alabama,720.0,620.0,100.0,0.1388888888888889,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Alaska,83.0,63.0,20.0,0.24096385542168675,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Arizona,706.0,561.0,145.0,0.20538243626062322,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Arkansas,660.0,560.0,100.0,0.15151515151515152,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,California,3119.0,2633.0,486.0,0.15581917281179866,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Colorado,1492.0,1314.0,178.0,0.1193029490616622,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Connecticut,389.0,356.0,33.0,0.08483290488431877,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Delaware,402.0,381.0,21.0,0.05223880597014925,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,District of Columbia,9.0,7.0,2.0,0.2222222222222222,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Florida,3914.0,3003.0,911.0,0.23275421563617782,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Georgia,1911.0,1706.0,205.0,0.10727367870225013,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Hawaii,236.0,182.0,54.0,0.2288135593220339,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Idaho,267.0,237.0,30.0,0.11235955056179775,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Illinois,1539.0,1345.0,194.0,0.12605588044184535,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Indiana,973.0,836.0,137.0,0.1408016443987667,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Iowa,586.0,493.0,93.0,0.15870307167235495,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Kansas,424.0,365.0,59.0,0.1391509433962264,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Kentucky,540.0,431.0,109.0,0.20185185185185187,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Louisiana,1130.0,1036.0,94.0,0.0831858407079646,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Maine,66.0,47.0,19.0,0.2878787878787879,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Maryland,537.0,489.0,48.0,0.0893854748603352,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Massachusetts,1201.0,993.0,208.0,0.17318900915903415,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Michigan,1467.0,1170.0,297.0,0.20245398773006135,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Minnesota,1170.0,962.0,208.0,0.17777777777777778,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Mississippi,462.0,418.0,44.0,0.09523809523809523,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Missouri,722.0,627.0,95.0,0.13157894736842105,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Montana,203.0,123.0,80.0,0.39408866995073893,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Nebraska,359.0,266.0,93.0,0.2590529247910863,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Nevada,473.0,434.0,39.0,0.0824524312896406,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,New Hampshire,109.0,100.0,9.0,0.08256880733944955,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,New Jersey,1628.0,1498.0,130.0,0.07985257985257985,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,New Mexico,639.0,558.0,81.0,0.1267605633802817,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,New York,3637.0,3197.0,440.0,0.12097882870497663,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,North Carolina,1658.0,1453.0,205.0,0.12364294330518698,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,North Dakota,190.0,113.0,77.0,0.4052631578947368,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Ohio,2180.0,1958.0,222.0,0.1018348623853211,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Oklahoma,361.0,322.0,39.0,0.10803324099722991,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Oregon,286.0,256.0,30.0,0.1048951048951049,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Pennsylvania,2714.0,2396.0,318.0,0.11717022844509949,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Rhode Island,200.0,184.0,16.0,0.08,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,South Carolina,708.0,642.0,66.0,0.09322033898305085,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,South Dakota,219.0,179.0,40.0,0.182648401826484,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Tennessee,1091.0,917.0,174.0,0.15948670944087992,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Texas,6304.0,5701.0,603.0,0.09565355329949239,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Utah,237.0,209.0,28.0,0.11814345991561181,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Vermont,47.0,33.0,14.0,0.2978723404255319,"Pediatric RSV hospital admissions, ages 0-4"
2025-2026,Virginia,642.0,556.0,86.0,0.13395638629283488,"Pediatric RSV hospital admissions, ages 0-4"
