season,hhs_region,n_states,median_outside_fraction,q25_outside_fraction,q75_outside_fraction,min_outside_fraction,max_outside_fraction
2024-2025,1,6,0.04716205100082259,0.03075649842930888,0.08098370927318295,0.016339869281045753,0.0967741935483871
2024-2025,2,2,0.04197853544392696,0.040404416331742965,0.04355265455611095,0.03883029721955897,0.04512677366829495
2024-2025,3,6,0.04336960636557788,0.03604454310450518,0.06145287958115183,0.029769959404600813,0.1297709923664122
2024-2025,4,8,0.058352560938233516,0.052009237489208396,0.08196592069663686,0.039901477832512314,0.12238463743192891
2024-2025,5,6,0.055176121574598724,0.051035736072802436,0.06360637734745957,0.037238493723849374,0.06725468577728776
2024-2025,6,5,0.049370764762826716,0.0376121001204658,0.05090497737556561,0.030555555555555555,0.13675213675213677
2024-2025,7,4,0.0765770617522639,0.06465772539059164,0.09051295118125284,0.04963235294117647,0.11158798283261803
2024-2025,8,6,0.12800925925925927,0.09431216931216932,0.14539473684210524,0.06078824315297261,0.17624521072796934
2024-2025,9,4,0.047761639911783574,0.03926370181053143,0.06593472370991116,0.026417171161254815,0.10780669144981413
2024-2025,10,4,0.06179294389820705,0.05815160072126016,0.06707820197044335,0.05042016806722689,0.07974137931034483
2025-2026,1,6,0.12901095702167648,0.08313483172566685,0.25920634319884944,0.08,0.2978723404255319
2025-2026,2,2,0.10041570427877825,0.09013414206567905,0.11069726649187743,0.07985257985257985,0.12097882870497663
2025-2026,3,6,0.12556330736896718,0.09633166325652627,0.20015576323987538,0.05223880597014925,0.2662337662337662
2025-2026,4,8,0.13126591609703794,0.1042647828362114,0.17007799504362292,0.09322033898305085,0.23275421563617782
2025-2026,5,6,0.15928971108827222,0.12974232143107567,0.18121574489287495,0.1018348623853211,0.20245398773006135
2025-2026,6,5,0.10803324099722991,0.09565355329949239,0.1267605633802817,0.0831858407079646,0.15151515151515152
2025-2026,7,4,0.14892700753429067,0.13725794438927508,0.1837905349520378,0.13157894736842105,0.2590529247910863
2025-2026,8,6,0.2143188533196591,0.13513931225286765,0.35706382866626274,0.11814345991561181,0.4052631578947368
2025-2026,9,4,0.18060080453621094,0.13747748743125915,0.2112402170259759,0.0824524312896406,0.2288135593220339
2025-2026,10,4,0.13384967819352023,0.11049343914512454,0.1767458182243537,0.1048951048951049,0.24096385542168675
