Group,Season,N,Median Outside Fraction,Q25,Q75,"Total pediatric RSV admissions, ages 0-4"
HHS Region 1,2024-2025,6,0.04716205100082259,0.03075649842930888,0.08098370927318295,
HHS Region 10,2024-2025,4,0.06179294389820705,0.05815160072126016,0.06707820197044335,
HHS Region 2,2024-2025,2,0.04197853544392696,0.040404416331742965,0.04355265455611095,
HHS Region 3,2024-2025,6,0.04336960636557788,0.03604454310450518,0.06145287958115183,
HHS Region 4,2024-2025,8,0.058352560938233516,0.052009237489208396,0.08196592069663686,
HHS Region 5,2024-2025,6,0.055176121574598724,0.051035736072802436,0.06360637734745957,
HHS Region 6,2024-2025,5,0.049370764762826716,0.0376121001204658,0.05090497737556561,
HHS Region 7,2024-2025,4,0.0765770617522639,0.06465772539059164,0.09051295118125284,
HHS Region 8,2024-2025,6,0.12800925925925927,0.09431216931216932,0.14539473684210524,
HHS Region 9,2024-2025,4,0.047761639911783574,0.03926370181053143,0.06593472370991116,
National (weighted),2024-2025,51,0.05732655905759633,,,66723.0
HHS Region 1,2025-2026,6,0.12901095702167648,0.08313483172566685,0.25920634319884944,
HHS Region 10,2025-2026,4,0.13384967819352023,0.11049343914512454,0.1767458182243537,
HHS Region 2,2025-2026,2,0.10041570427877825,0.09013414206567905,0.11069726649187743,
HHS Region 3,2025-2026,6,0.12556330736896718,0.09633166325652627,0.20015576323987538,
HHS Region 4,2025-2026,8,0.13126591609703794,0.1042647828362114,0.17007799504362292,
HHS Region 5,2025-2026,6,0.15928971108827222,0.12974232143107567,0.18121574489287495,
HHS Region 6,2025-2026,5,0.10803324099722991,0.09565355329949239,0.1267605633802817,
HHS Region 7,2025-2026,4,0.14892700753429067,0.13725794438927508,0.1837905349520378,
HHS Region 8,2025-2026,6,0.2143188533196591,0.13513931225286765,0.35706382866626274,
HHS Region 9,2025-2026,4,0.18060080453621094,0.13747748743125915,0.2112402170259759,
National (weighted),2025-2026,51,0.13971773792224854,,,50237.0
