season,datasource,age_group,metric,point_estimate,ci_lower,ci_upper,n_states
2023-2024,nssp,all_ages,median_outside_fraction,0.05953534738182926,0.05337190930217105,0.06863252770045614,50
2024-2025,nssp,all_ages,median_outside_fraction,0.07584023503897139,0.06712027710455162,0.08238567710431072,50
2025-2026,nssp,all_ages,median_outside_fraction,0.11968015726610394,0.10671067669889042,0.14076898357916384,50
2023-2024,nssp,all_ages,median_coverage_baseline_oct_mar,0.9404646526181707,0.9311007957559683,0.9469292368245582,50
2023-2024,nssp,all_ages,median_coverage_early_sep_mar,0.9572478546806668,0.9521085978039618,0.9642052640417302,50
2023-2024,nssp,all_ages,median_coverage_extended_sep_apr,0.977496078003907,0.9722436391673093,0.9803149606299215,50
2023-2024,nssp,all_ages,median_coverage_late_oct_apr,0.9632869122945112,0.9569567504146943,0.9654774216254787,50
2024-2025,nssp,all_ages,median_coverage_baseline_oct_mar,0.9241597649610285,0.9170415171985578,0.932815180314293,50
2024-2025,nssp,all_ages,median_coverage_early_sep_mar,0.931700745923558,0.9216919444192169,0.941540033643038,50
2024-2025,nssp,all_ages,median_coverage_extended_sep_apr,0.9720889710500962,0.9687499999999999,0.9745083758193736,50
2024-2025,nssp,all_ages,median_coverage_late_oct_apr,0.9635404929068794,0.960111207896887,0.9691689008042895,50
2025-2026,nssp,all_ages,median_coverage_baseline_oct_mar,0.8803198427338961,0.8592310164208361,0.8932806324110671,50
2025-2026,nssp,all_ages,median_coverage_early_sep_mar,0.890012649721311,0.869578405280149,0.9012724641111699,50
2025-2026,nssp,all_ages,median_coverage_extended_sep_apr,0.9918051108440766,0.9898179350489413,0.993975903614458,50
2025-2026,nssp,all_ages,median_coverage_late_oct_apr,0.9850971219563895,0.981849611063094,0.9895100195503421,50
