window_name,season,jurisdiction,total_burden,inside_burden,coverage,missed_fraction,metric_label
baseline_oct_mar,2023-2024,Alabama,17.94,16.219999999999995,0.9041248606465995,0.09587513935340053,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2023-2024,Alabama,17.94,17.099999999999998,0.9531772575250834,0.04682274247491658,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2023-2024,Alabama,17.94,16.449999999999992,0.9169453734671121,0.08305462653288787,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2023-2024,Alaska,22.770000000000003,21.409999999999997,0.9402722880983748,0.05972771190162518,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2023-2024,Alaska,22.770000000000003,21.67,0.9516908212560385,0.048309178743961456,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2023-2024,Alaska,22.770000000000003,21.929999999999996,0.9631093544137019,0.036890645586298065,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2023-2024,Arizona,11.549999999999999,10.829999999999998,0.9376623376623376,0.06233766233766236,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2023-2024,Arizona,11.549999999999999,10.999999999999998,0.9523809523809523,0.04761904761904767,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2023-2024,Arizona,11.549999999999999,11.079999999999998,0.9593073593073592,0.04069264069264078,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2023-2024,Arkansas,23.630000000000003,22.65,0.9585272958104103,0.041472704189589704,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2023-2024,Arkansas,23.630000000000003,22.929999999999996,0.9703766398645787,0.02962336013542133,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2023-2024,Arkansas,23.630000000000003,22.82,0.9657215404147269,0.03427845958527309,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2023-2024,California,10.93,10.379999999999999,0.94967978042086,0.05032021957914001,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2023-2024,California,10.93,10.570000000000002,0.9670631290027449,0.03293687099725506,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2023-2024,California,10.93,10.549999999999999,0.9652333028362304,0.03476669716376957,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2023-2024,Colorado,13.379999999999999,12.61,0.9424514200298953,0.05754857997010465,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2023-2024,Colorado,13.379999999999999,12.699999999999998,0.9491778774289984,0.050822122571001604,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2023-2024,Colorado,13.379999999999999,13.01,0.9723467862481316,0.027653213751868355,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2023-2024,Connecticut,9.03,8.799999999999999,0.9745293466223698,0.025470653377630215,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2023-2024,Connecticut,9.03,8.910000000000002,0.9867109634551497,0.013289036544850252,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2023-2024,Connecticut,9.03,8.859999999999998,0.981173864894795,0.018826135105205033,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2023-2024,Delaware,22.47,21.169999999999998,0.9421450823319982,0.05785491766800177,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2023-2024,Delaware,22.47,21.790000000000003,0.9697374276813531,0.03026257231864693,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2023-2024,Delaware,22.47,21.45,0.9546061415220294,0.04539385847797062,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2023-2024,District of Columbia,19.92,17.87,0.8970883534136546,0.10291164658634544,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2023-2024,District of Columbia,19.92,19.070000000000004,0.9573293172690764,0.04267068273092356,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2023-2024,District of Columbia,19.92,18.050000000000004,0.906124497991968,0.09387550200803196,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2023-2024,Florida,13.729999999999997,10.31,0.7509104151493083,0.24908958485069166,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2023-2024,Florida,13.729999999999997,12.03,0.8761835396941007,0.12381646030589932,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2023-2024,Florida,13.729999999999997,10.520000000000001,0.7662053896576841,0.23379461034231586,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2023-2024,Georgia,10.76,8.800000000000002,0.817843866171004,0.18215613382899598,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2023-2024,Georgia,10.76,10.01,0.9302973977695167,0.0697026022304833,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2023-2024,Georgia,10.76,8.970000000000002,0.8336431226765801,0.16635687732341986,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2023-2024,Hawaii,11.219999999999997,10.010000000000002,0.8921568627450984,0.10784313725490158,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2023-2024,Hawaii,11.219999999999997,10.550000000000002,0.9402852049910878,0.05971479500891219,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2023-2024,Hawaii,11.219999999999997,10.120000000000001,0.9019607843137258,0.09803921568627416,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2023-2024,Idaho,15.08,13.989999999999998,0.9277188328912466,0.07228116710875343,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2023-2024,Idaho,15.08,14.069999999999999,0.933023872679045,0.06697612732095504,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2023-2024,Idaho,15.08,14.549999999999997,0.9648541114058353,0.035145888594164676,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2023-2024,Illinois,18.62,17.41,0.9350161117078409,0.06498388829215906,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2023-2024,Illinois,18.62,17.759999999999998,0.9538131041890439,0.04618689581095614,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2023-2024,Illinois,18.62,17.82,0.9570354457572502,0.04296455424274981,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2023-2024,Indiana,14.069999999999999,13.219999999999999,0.939587775408671,0.060412224591329,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2023-2024,Indiana,14.069999999999999,13.500000000000002,0.9594882729211089,0.04051172707889106,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2023-2024,Indiana,14.069999999999999,13.509999999999998,0.9601990049751243,0.03980099502487566,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2023-2024,Iowa,24.860000000000003,22.75,0.9151246983105389,0.08487530168946111,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2023-2024,Iowa,24.860000000000003,23.049999999999997,0.9271922767497986,0.07280772325020135,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2023-2024,Iowa,24.860000000000003,23.81,0.9577634754625903,0.04223652453740967,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2023-2024,Kansas,14.499999999999998,13.55,0.9344827586206899,0.06551724137931014,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2023-2024,Kansas,14.499999999999998,13.659999999999998,0.9420689655172414,0.0579310344827586,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2023-2024,Kansas,14.499999999999998,13.97,0.9634482758620692,0.03655172413793084,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2023-2024,Kentucky,22.330000000000002,21.03,0.941782355575459,0.058217644424541026,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2023-2024,Kentucky,22.330000000000002,21.56,0.9655172413793102,0.034482758620689835,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2023-2024,Kentucky,22.330000000000002,21.26,0.9520824003582624,0.047917599641737585,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2023-2024,Louisiana,15.549999999999999,14.040000000000001,0.9028938906752413,0.09710610932475872,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2023-2024,Louisiana,15.549999999999999,14.860000000000001,0.9556270096463024,0.04437299035369757,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2023-2024,Louisiana,15.549999999999999,14.17,0.9112540192926045,0.08874598070739548,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2023-2024,Maine,11.7,11.239999999999998,0.9606837606837606,0.0393162393162394,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2023-2024,Maine,11.7,11.299999999999999,0.9658119658119658,0.03418803418803418,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2023-2024,Maine,11.7,11.479999999999997,0.981196581196581,0.01880341880341896,"RSV ED visit percentage of total ED visits, all ages"
baseline_oct_mar,2023-2024,Maryland,16.820000000000004,15.8,0.9393579072532697,0.06064209274673027,"RSV ED visit percentage of total ED visits, all ages"
early_sep_mar,2023-2024,Maryland,16.820000000000004,16.28,0.9678953626634957,0.03210463733650426,"RSV ED visit percentage of total ED visits, all ages"
late_oct_apr,2023-2024,Maryland,16.820000000000004,15.959999999999999,0.9488703923900116,0.051129607609988414,"RSV ED visit percentage of total ED visits, all ages"
