datasource,season,jurisdiction,window_name,window_label,birth_month,median_person_activity_fractional_protection,mean_person_activity_fractional_protection,share_receiving_ppx,total_activity_exposure_weight
nssp,2023-2024,Alabama,baseline_oct_mar,Baseline Oct-Mar,2023-01,0.0,0.0,0.0,6.304680073126142
nssp,2023-2024,Alabama,baseline_oct_mar,Baseline Oct-Mar,2023-02,0.0,0.0,0.0,6.007787934186473
nssp,2023-2024,Alabama,baseline_oct_mar,Baseline Oct-Mar,2023-03,0.0,0.02522681595434419,0.034254838709677424,6.839213893967093
nssp,2023-2024,Alabama,baseline_oct_mar,Baseline Oct-Mar,2023-04,0.12570403449126172,0.12357420901476987,0.18499999999999997,6.743345521023766
nssp,2023-2024,Alabama,baseline_oct_mar,Baseline Oct-Mar,2023-05,0.08793152964045602,0.09297828487900031,0.18500000000000003,7.047531992687385
nssp,2023-2024,Alabama,baseline_oct_mar,Baseline Oct-Mar,2023-06,0.12511427548331067,0.12311102857839584,0.18499999999999997,6.864113345521025
nssp,2023-2024,Alabama,baseline_oct_mar,Baseline Oct-Mar,2023-07,0.0883025453018426,0.09328815812080267,0.18500000000000003,7.08583180987203
nssp,2023-2024,Alabama,baseline_oct_mar,Baseline Oct-Mar,2023-08,0.13090359528974171,0.12998119132336067,0.18500000000000003,7.01603290676417
nssp,2023-2024,Alabama,baseline_oct_mar,Baseline Oct-Mar,2023-09,0.13989907627499215,0.13885051207520963,0.18499999999999997,6.617148080438756
nssp,2023-2024,Alabama,baseline_oct_mar,Baseline Oct-Mar,2023-10,0.1415968327976642,0.13536634446049908,0.18500000000000005,6.104625228519195
nssp,2023-2024,Alabama,baseline_oct_mar,Baseline Oct-Mar,2023-11,0.12009701712097759,0.11672321735894989,0.18500000000000003,4.04127970749543
nssp,2023-2024,Alabama,baseline_oct_mar,Baseline Oct-Mar,2023-12,0.11496580149157774,0.11225461760244557,0.18500000000000005,1.8754113345521026
nssp,2023-2024,Alabama,baseline_oct_mar,Baseline Oct-Mar,2024-01,0.12586000438656547,0.1226380520426687,0.18500000000000005,0.8054844606946985
nssp,2023-2024,Alabama,baseline_oct_mar,Baseline Oct-Mar,2024-02,0.12934121052579958,0.12496406057414657,0.18500000000000003,0.42557586837294337
nssp,2023-2024,Alabama,baseline_oct_mar,Baseline Oct-Mar,2024-03,0.12522194615384616,0.09134747307954606,0.12500891612903228,0.26594149908592324
nssp,2023-2024,Alabama,baseline_oct_mar,Baseline Oct-Mar,2024-04,0.0,0.0,0.0,0.13429616087751373
nssp,2023-2024,Alabama,baseline_oct_mar,Baseline Oct-Mar,2024-05,0.0,0.0,0.0,0.060840950639853744
nssp,2023-2024,Alabama,baseline_oct_mar,Baseline Oct-Mar,2024-06,0.0,0.0,0.0,0.015374771480804388
nssp,2023-2024,Alabama,early_sep_mar,Early Sep-Mar,2023-01,0.0,0.0,0.0,6.304680073126142
nssp,2023-2024,Alabama,early_sep_mar,Early Sep-Mar,2023-02,0.0,0.027636278441748582,0.03521607142857143,6.007787934186473
nssp,2023-2024,Alabama,early_sep_mar,Early Sep-Mar,2023-03,0.14351635977899654,0.139563629628918,0.18147903225806455,6.839213893967093
nssp,2023-2024,Alabama,early_sep_mar,Early Sep-Mar,2023-04,0.13020149513559612,0.13083917813367107,0.18499999999999997,6.743345521023766
nssp,2023-2024,Alabama,early_sep_mar,Early Sep-Mar,2023-05,0.14202231655120212,0.1404446332034968,0.18500000000000003,7.047531992687385
nssp,2023-2024,Alabama,early_sep_mar,Early Sep-Mar,2023-06,0.1294922075919448,0.12996947436359088,0.18499999999999997,6.864113345521025
nssp,2023-2024,Alabama,early_sep_mar,Early Sep-Mar,2023-07,0.14163041431531964,0.14091208196223037,0.18500000000000003,7.08583180987203
nssp,2023-2024,Alabama,early_sep_mar,Early Sep-Mar,2023-08,0.14336617501976973,0.14331814528918801,0.18500000000000003,7.01603290676417
nssp,2023-2024,Alabama,early_sep_mar,Early Sep-Mar,2023-09,0.14508133919187494,0.14351781877563177,0.18500000000000003,6.617148080438757
nssp,2023-2024,Alabama,early_sep_mar,Early Sep-Mar,2023-10,0.1415968327976642,0.13536634446049908,0.18500000000000005,6.104625228519195
nssp,2023-2024,Alabama,early_sep_mar,Early Sep-Mar,2023-11,0.12009701712097759,0.11672321735894989,0.18500000000000003,4.04127970749543
nssp,2023-2024,Alabama,early_sep_mar,Early Sep-Mar,2023-12,0.11496580149157774,0.11225461760244557,0.18500000000000005,1.8754113345521026
nssp,2023-2024,Alabama,early_sep_mar,Early Sep-Mar,2024-01,0.12586000438656547,0.1226380520426687,0.18500000000000005,0.8054844606946985
nssp,2023-2024,Alabama,early_sep_mar,Early Sep-Mar,2024-02,0.12934121052579958,0.12496406057414657,0.18500000000000003,0.42557586837294337
nssp,2023-2024,Alabama,early_sep_mar,Early Sep-Mar,2024-03,0.12522194615384616,0.09134747307954606,0.12500891612903228,0.26594149908592324
nssp,2023-2024,Alabama,early_sep_mar,Early Sep-Mar,2024-04,0.0,0.0,0.0,0.13429616087751373
nssp,2023-2024,Alabama,early_sep_mar,Early Sep-Mar,2024-05,0.0,0.0,0.0,0.060840950639853744
nssp,2023-2024,Alabama,early_sep_mar,Early Sep-Mar,2024-06,0.0,0.0,0.0,0.015374771480804388
nssp,2023-2024,Alabama,extended_sep_apr,Extended Sep-Apr,2023-01,0.0,0.0,0.0,6.304680073126142
nssp,2023-2024,Alabama,extended_sep_apr,Extended Sep-Apr,2023-02,0.0,0.027636278441748582,0.03521607142857143,6.007787934186473
nssp,2023-2024,Alabama,extended_sep_apr,Extended Sep-Apr,2023-03,0.14351635977899654,0.139563629628918,0.18147903225806455,6.839213893967093
nssp,2023-2024,Alabama,extended_sep_apr,Extended Sep-Apr,2023-04,0.13020149513559612,0.13083917813367107,0.18499999999999997,6.743345521023766
nssp,2023-2024,Alabama,extended_sep_apr,Extended Sep-Apr,2023-05,0.14202231655120212,0.1404446332034968,0.18500000000000003,7.047531992687385
nssp,2023-2024,Alabama,extended_sep_apr,Extended Sep-Apr,2023-06,0.1294922075919448,0.12996947436359088,0.18499999999999997,6.864113345521025
nssp,2023-2024,Alabama,extended_sep_apr,Extended Sep-Apr,2023-07,0.14163041431531964,0.14091208196223037,0.18500000000000003,7.08583180987203
nssp,2023-2024,Alabama,extended_sep_apr,Extended Sep-Apr,2023-08,0.14336617501976973,0.14331814528918801,0.18500000000000003,7.01603290676417
nssp,2023-2024,Alabama,extended_sep_apr,Extended Sep-Apr,2023-09,0.14508133919187494,0.14351781877563177,0.18500000000000003,6.617148080438757
nssp,2023-2024,Alabama,extended_sep_apr,Extended Sep-Apr,2023-10,0.1415968327976642,0.13536634446049908,0.18500000000000005,6.104625228519195
nssp,2023-2024,Alabama,extended_sep_apr,Extended Sep-Apr,2023-11,0.12009701712097759,0.11672321735894989,0.18500000000000003,4.04127970749543
nssp,2023-2024,Alabama,extended_sep_apr,Extended Sep-Apr,2023-12,0.11496580149157774,0.11225461760244557,0.18500000000000005,1.8754113345521026
nssp,2023-2024,Alabama,extended_sep_apr,Extended Sep-Apr,2024-01,0.12586000438656547,0.1226380520426687,0.18500000000000005,0.8054844606946985
nssp,2023-2024,Alabama,extended_sep_apr,Extended Sep-Apr,2024-02,0.12934121052579958,0.12496406057414657,0.18500000000000003,0.42557586837294337
nssp,2023-2024,Alabama,extended_sep_apr,Extended Sep-Apr,2024-03,0.12522194615384616,0.12232449652417073,0.18500000000000005,0.26594149908592324
nssp,2023-2024,Alabama,extended_sep_apr,Extended Sep-Apr,2024-04,0.12398030746568246,0.08779921046556322,0.12300921333333338,0.13429616087751373
nssp,2023-2024,Alabama,extended_sep_apr,Extended Sep-Apr,2024-05,0.0,0.0,0.0,0.060840950639853744
nssp,2023-2024,Alabama,extended_sep_apr,Extended Sep-Apr,2024-06,0.0,0.0,0.0,0.015374771480804388
nssp,2023-2024,Alabama,late_oct_apr,Late Oct-Apr,2023-01,0.0,0.0,0.0,6.304680073126142
nssp,2023-2024,Alabama,late_oct_apr,Late Oct-Apr,2023-02,0.0,0.0,0.0,6.007787934186473
nssp,2023-2024,Alabama,late_oct_apr,Late Oct-Apr,2023-03,0.0,0.02522681595434419,0.034254838709677424,6.839213893967093
nssp,2023-2024,Alabama,late_oct_apr,Late Oct-Apr,2023-04,0.12570403449126172,0.12357420901476987,0.18499999999999997,6.743345521023766
nssp,2023-2024,Alabama,late_oct_apr,Late Oct-Apr,2023-05,0.08793152964045602,0.09297828487900031,0.18500000000000003,7.047531992687385
nssp,2023-2024,Alabama,late_oct_apr,Late Oct-Apr,2023-06,0.12511427548331067,0.12311102857839584,0.18499999999999997,6.864113345521025
nssp,2023-2024,Alabama,late_oct_apr,Late Oct-Apr,2023-07,0.0883025453018426,0.09328815812080267,0.18500000000000003,7.08583180987203
nssp,2023-2024,Alabama,late_oct_apr,Late Oct-Apr,2023-08,0.13090359528974171,0.12998119132336067,0.18500000000000003,7.01603290676417
nssp,2023-2024,Alabama,late_oct_apr,Late Oct-Apr,2023-09,0.13989907627499215,0.13885051207520963,0.18499999999999997,6.617148080438756
nssp,2023-2024,Alabama,late_oct_apr,Late Oct-Apr,2023-10,0.1415968327976642,0.13536634446049908,0.18500000000000005,6.104625228519195
nssp,2023-2024,Alabama,late_oct_apr,Late Oct-Apr,2023-11,0.12009701712097759,0.11672321735894989,0.18500000000000003,4.04127970749543
