datasource,metric_label,season,jurisdiction,window_name,window_label,n_birth_cohorts,n_cohort_schedule_rows,share_receiving_ppx,median_person_activity_fractional_protection,q25_person_activity_fractional_protection,q75_person_activity_fractional_protection,mean_person_activity_fractional_protection,population_activity_weighted_protection,median_person_calendar_fractional_protection,mean_person_calendar_fractional_protection,total_activity_exposure_weight,uptake,efficacy_profile,protection_delay_days,protection_duration_days,eligibility_max_age_days,exposure_censor_age_days,birth_weight_scheme,allow_window_start_catchup
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Alabama,baseline_oct_mar,Baseline Oct-Mar,608,3164,0.11005292171052634,0.09058029463446952,0.0,0.13085084585671422,0.07154350396783106,0.10924291326333926,0.057699030494821626,0.06363802472062328,50.266403940886704,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Alabama,early_sep_mar,Early Sep-Mar,608,3284,0.11918121118421054,0.12067352461642161,0.0,0.1438890963260745,0.08566141984184088,0.13178200065416348,0.08150898523304106,0.07179358284090202,50.2664039408867,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Alabama,late_oct_apr,Late Oct-Apr,608,3284,0.11918121118421054,0.09963781934348964,0.0,0.1328859738389021,0.07752089490373357,0.10959486719674524,0.07420916120218579,0.07021419769078599,50.266403940886704,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Alabama,year_round,Year-round,608,3892,0.16561955822368424,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.11157468279666616,50.26640394088669,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Alaska,baseline_oct_mar,Baseline Oct-Mar,608,3164,0.11005292171052634,0.11533030717140003,0.0,0.14361211568171173,0.07967539148174806,0.1322820796473978,0.057699030494821626,0.06363802472062328,63.78857142857142,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Alaska,early_sep_mar,Early Sep-Mar,608,3284,0.11918121118421054,0.13325016824621946,0.0,0.145142391165758,0.08831852571063868,0.13825176727757824,0.08150898523304106,0.07179358284090202,63.78857142857143,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Alaska,late_oct_apr,Late Oct-Apr,608,3284,0.11918121118421054,0.11929782886147149,0.0,0.1442911665927979,0.08524845740592527,0.13277982833574528,0.07420916120218579,0.07021419769078599,63.78857142857143,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Alaska,year_round,Year-round,608,3892,0.16561955822368424,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.11157468279666616,63.78857142857142,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Arizona,baseline_oct_mar,Baseline Oct-Mar,608,3164,0.11005292171052634,0.11623657964219443,0.0,0.14246145917920466,0.07826262674634844,0.1336464015715505,0.057699030494821626,0.06363802472062328,32.36906403940887,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Arizona,early_sep_mar,Early Sep-Mar,608,3284,0.11918121118421054,0.12004118439367549,0.0,0.14373972892823936,0.08514331858572217,0.1370889188069827,0.08150898523304106,0.07179358284090202,32.36906403940887,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Arizona,late_oct_apr,Late Oct-Apr,608,3284,0.11918121118421054,0.11993905461205459,0.0,0.14275560845555257,0.0834166238484915,0.13399158343035303,0.07420916120218579,0.07021419769078599,32.36906403940887,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Arizona,year_round,Year-round,608,3892,0.16561955822368424,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.11157468279666616,32.36906403940887,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Arkansas,baseline_oct_mar,Baseline Oct-Mar,608,3164,0.11005292171052634,0.10219606489039955,0.0,0.14242112911200566,0.07675053596253677,0.12966066672788829,0.057699030494821626,0.06363802472062328,66.22456486042694,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Arkansas,early_sep_mar,Early Sep-Mar,608,3284,0.11918121118421054,0.13067439427587754,0.0,0.14564122544452796,0.08614836983958664,0.13843960187318233,0.08150898523304106,0.07179358284090202,66.22456486042694,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Arkansas,late_oct_apr,Late Oct-Apr,608,3284,0.11918121118421054,0.11261817322120148,0.0,0.1434947755490432,0.08291901222696473,0.12993662735502368,0.07420916120218579,0.07021419769078599,66.22456486042694,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Arkansas,year_round,Year-round,608,3892,0.16561955822368424,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.11157468279666616,66.22456486042694,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,California,baseline_oct_mar,Baseline Oct-Mar,608,3164,0.11005292171052634,0.1112632866228118,0.0,0.14239218635419487,0.0770185469252502,0.13042067884378472,0.057699030494821626,0.06363802472062328,30.63021346469622,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,California,early_sep_mar,Early Sep-Mar,608,3284,0.11918121118421054,0.1284928742164943,0.0,0.1448437568807099,0.08607965189490871,0.13778608455662703,0.08150898523304106,0.07179358284090202,30.63021346469622,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,California,late_oct_apr,Late Oct-Apr,608,3284,0.11918121118421054,0.11469801687706237,0.0,0.14257703931782498,0.0821638565711389,0.13066460559761162,0.07420916120218579,0.07021419769078599,30.63021346469622,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,California,year_round,Year-round,608,3892,0.16561955822368424,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.12625036885245902,0.11157468279666616,30.63021346469622,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Colorado,baseline_oct_mar,Baseline Oct-Mar,608,3164,0.11005292171052634,0.1246017145699932,0.0,0.14508447900629196,0.08131205128090264,0.13641783000203167,0.057699030494821626,0.06363802472062328,37.52551724137931,0.185,piecewise_linear,6,210,244,244,uniform,False
nssp,"RSV ED visit percentage of total ED visits, all ages",2023-2024,Colorado,early_sep_mar,Early Sep-Mar,608,3284,0.11918121118421054,0.13125971138972603,0.0,0.14541938501041235,0.08863047387492341,0.13879282822760794,0.08150898523304106,0.07179358284090202,37.525517241379305,0.185,piecewise_linear,6,210,244,244,uniform,False
