season,jurisdiction,peak_week,peak_value,material_weeks_total,material_weeks_outside,material_burden_total,material_burden_outside,material_burden_outside_frac,metric_label
2023-2024,Alabama,2023-11-18,1.61,16,1,14.990000000000002,0.35,0.01950947603121516,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Alaska,2023-12-23,1.9633333333333332,18,0,19.7,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Arizona,2023-12-30,0.9700000000000001,17,0,9.77,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Arkansas,2023-12-09,2.1999999999999997,14,0,20.130000000000003,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,California,2023-12-30,0.8933333333333334,18,0,9.480000000000002,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Colorado,2023-12-30,1.1033333333333335,19,0,11.84,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Connecticut,2023-12-02,0.8566666666666668,14,0,7.83,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Delaware,2023-11-18,2.2199999999999998,14,0,18.630000000000003,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,District of Columbia,2023-11-18,1.5733333333333333,16,1,16.7,0.32,0.01606425702811245,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Florida,2023-11-04,0.8233333333333334,24,7,11.48,2.0999999999999996,0.1529497450837582,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Georgia,2023-11-04,0.7266666666666667,20,4,8.969999999999999,1.08,0.10037174721189591,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Hawaii,2023-11-25,0.6233333333333332,25,3,10.079999999999998,0.42,0.037433155080213915,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Idaho,2023-12-30,1.1033333333333333,20,1,13.639999999999997,0.19,0.012599469496021221,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Illinois,2023-12-23,1.2866666666666666,20,0,16.22,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Indiana,2023-12-23,1.1300000000000001,18,0,11.99,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Iowa,2024-01-06,1.9733333333333334,20,1,21.719999999999995,0.43,0.01729686242960579,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Kansas,2023-12-30,1.4033333333333333,15,0,11.93,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Kentucky,2023-12-09,1.9933333333333332,14,0,18.419999999999998,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Louisiana,2023-11-25,1.4666666666666668,16,1,13.29,0.31,0.019935691318327977,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Maine,2023-12-30,1.07,17,0,10.32,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Maryland,2023-11-25,1.5333333333333332,15,0,14.290000000000003,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Massachusetts,2023-12-02,1.4066666666666665,16,0,14.25,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Michigan,2023-12-30,1.2633333333333334,17,0,11.79,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Minnesota,2023-12-30,1.7599999999999998,19,0,20.55,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Mississippi,2023-11-18,1.1966666666666665,18,3,13.08,1.1400000000000001,0.07455853499018968,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Montana,2024-02-17,1.1133333333333333,19,2,14.07,0.8200000000000001,0.05236270753512133,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Nebraska,2023-12-30,1.0333333333333334,21,0,11.44,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Nevada,2023-12-30,1.05,18,0,10.600000000000001,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,New Hampshire,2023-12-23,1.3333333333333333,15,0,11.67,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,New Jersey,2023-11-25,0.8633333333333333,17,0,9.299999999999999,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,New Mexico,2023-12-30,2.6166666666666667,16,0,22.479999999999997,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,New York,2023-12-09,0.8866666666666667,17,0,9.489999999999998,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,North Carolina,2023-12-02,1.4833333333333334,17,0,15.809999999999999,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,North Dakota,2024-01-27,0.9566666666666667,20,2,12.52,0.55,0.03884180790960452,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Ohio,2023-12-30,0.9233333333333333,16,0,8.42,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Oklahoma,2023-12-23,1.553333333333333,17,0,15.38,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Oregon,2023-12-30,1.0833333333333333,19,0,11.100000000000001,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Pennsylvania,2023-12-16,1.0866666666666667,16,0,10.9,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Rhode Island,2023-12-16,1.1366666666666667,13,0,9.950000000000001,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,South Carolina,2023-11-18,1.1266666666666667,17,1,11.56,0.23,0.0164756446991404,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,South Dakota,2024-02-24,1.3233333333333333,21,3,17.62,1.41,0.0734375,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Tennessee,2023-11-25,1.5399999999999998,18,1,16.570000000000004,0.34,0.01747173689619733,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Texas,2023-11-25,1.5233333333333332,16,0,14.87,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Utah,2024-01-06,1.5,17,0,16.14,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Vermont,2024-01-06,1.8399999999999999,17,0,18.51,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Virginia,2023-11-25,1.0266666666666666,16,0,10.75,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Washington,2023-12-30,1.4766666666666666,17,0,14.469999999999999,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,West Virginia,2023-12-30,3.0566666666666666,14,0,23.990000000000002,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Wisconsin,2024-01-06,1.4033333333333333,18,0,14.61,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Wyoming,2024-02-10,1.18,22,2,14.67,0.57,0.03431667670078266,"RSV ED visit percentage of total ED visits, all ages"
2024-2025,Alabama,2024-12-21,1.25,20,0,14.21,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2024-2025,Alaska,2024-12-28,1.8033333333333335,18,0,17.71,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2024-2025,Arizona,2025-02-15,0.7633333333333333,16,0,7.409999999999999,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2024-2025,Arkansas,2024-12-28,2.026666666666667,15,0,15.55,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2024-2025,California,2025-01-04,0.6233333333333333,20,1,7.65,0.13,0.015222482435597191,"RSV ED visit percentage of total ED visits, all ages"
2024-2025,Colorado,2025-02-15,0.9400000000000001,18,2,11.239999999999998,0.54,0.04316546762589928,"RSV ED visit percentage of total ED visits, all ages"
2024-2025,Connecticut,2024-12-28,0.9533333333333333,13,0,7.289999999999999,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2024-2025,Delaware,2024-12-28,2.4333333333333336,13,0,17.560000000000002,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2024-2025,District of Columbia,2024-12-28,1.5899999999999999,14,0,12.76,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2024-2025,Florida,2024-11-30,0.7000000000000001,28,2,11.540000000000001,0.36,0.027108433734939756,"RSV ED visit percentage of total ED visits, all ages"
2024-2025,Georgia,2024-11-30,0.9266666666666667,16,0,9.150000000000002,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2024-2025,Hawaii,2025-01-04,0.6933333333333334,26,1,10.61,0.12,0.009700889248181084,"RSV ED visit percentage of total ED visits, all ages"
2024-2025,Idaho,2025-02-22,1.37,17,2,13.39,0.69,0.044718081659105645,"RSV ED visit percentage of total ED visits, all ages"
2024-2025,Illinois,2024-12-28,1.6233333333333333,16,0,13.7,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2024-2025,Indiana,2025-01-04,1.1266666666666667,19,0,11.16,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2024-2025,Iowa,2025-01-25,1.2333333333333334,20,3,16.810000000000002,0.99,0.05436573311367379,"RSV ED visit percentage of total ED visits, all ages"
2024-2025,Kansas,2025-02-08,0.9366666666666666,19,2,11.58,0.5,0.03881987577639751,"RSV ED visit percentage of total ED visits, all ages"
2024-2025,Kentucky,2024-12-28,1.5599999999999998,16,0,12.82,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2024-2025,Louisiana,2024-12-28,1.3733333333333333,15,0,12.580000000000002,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2024-2025,Maine,2025-02-01,0.73,19,3,8.53,0.61,0.06482465462274177,"RSV ED visit percentage of total ED visits, all ages"
2024-2025,Maryland,2024-12-28,1.3233333333333333,15,0,11.829999999999998,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2024-2025,Massachusetts,2024-12-28,1.5733333333333333,15,0,13.419999999999998,0.0,0.0,"RSV ED visit percentage of total ED visits, all ages"
2024-2025,Michigan,2025-01-04,1.1700000000000002,21,2,14.06,0.5,0.031989763275751766,"RSV ED visit percentage of total ED visits, all ages"
