season,jurisdiction,total_burden,inside_burden,outside_burden,outside_fraction,metric_label
2023-2024,Alabama,17.94,16.219999999999995,1.72,0.09587513935340021,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Alaska,22.780000000000005,21.42,1.36,0.059701492537313425,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Arizona,11.549999999999999,10.829999999999998,0.7200000000000001,0.06233766233766235,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Arkansas,23.630000000000003,22.65,0.9800000000000001,0.0414727041895895,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,California,10.93,10.379999999999999,0.55,0.050320219579139985,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Colorado,13.389999999999999,12.62,0.77,0.05750560119492159,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Connecticut,9.03,8.799999999999999,0.23,0.025470653377630124,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Delaware,22.47,21.169999999999998,1.3,0.057854917668001785,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,District of Columbia,19.92,17.87,2.05,0.10291164658634537,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Florida,13.729999999999997,10.31,3.42,0.24908958485069196,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Georgia,10.76,8.800000000000002,1.9600000000000002,0.18215613382899631,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Hawaii,11.219999999999997,10.010000000000002,1.2100000000000002,0.10784313725490201,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Idaho,15.08,13.989999999999998,1.09,0.07228116710875332,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Illinois,18.62,17.41,1.21,0.06498388829215897,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Indiana,14.069999999999999,13.219999999999999,0.8500000000000001,0.06041222459132908,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Iowa,24.860000000000003,22.75,2.11,0.08487530168946096,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Kansas,14.499999999999998,13.55,0.9500000000000001,0.06551724137931035,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Kentucky,22.32,21.02,1.3,0.05824372759856631,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Louisiana,15.549999999999999,14.040000000000001,1.51,0.09710610932475885,"RSV ED visit percentage of total ED visits, all ages"
2023-2024,Maine,11.7,11.239999999999998,0.4600000000000001,0.03931623931623932,"RSV ED visit percentage of total ED visits, all ages"
