season,hhs_region,n_states,median_outside_fraction,q25_outside_fraction,q75_outside_fraction,min_outside_fraction,max_outside_fraction
2023-2024,1,6,0.040860824688742824,0.03949205991665729,0.04296464998032748,0.025470653377630124,0.062020082693443584
2023-2024,2,2,0.05440987583844727,0.05193021264449836,0.056889539032396186,0.049450549450549455,0.05936920222634509
2023-2024,3,6,0.05923048913703119,0.04332988753073138,0.07779788517493436,0.034565916398713835,0.10291164658634537
2023-2024,4,8,0.10106360265860173,0.08646728641469173,0.1617914860406369,0.051254089422028346,0.24908958485069196
2023-2024,5,6,0.05307076317544166,0.04927542589528014,0.05875002865855058,0.04605263157894737,0.06498388829215897
2023-2024,6,5,0.0414727041895895,0.03940605368360936,0.09710610932475885,0.034892638036809816,0.112493239588967
2023-2024,7,3,0.07632999228989977,0.07092361683460506,0.08060264698968037,0.06551724137931035,0.08487530168946096
2023-2024,8,6,0.10979879645864452,0.06961225174364882,0.1182600973818646,0.04994511525795827,0.12883804936785068
2023-2024,9,4,0.05835169772566809,0.05335435473004036,0.07371403106697226,0.050320219579139985,0.10784313725490201
2023-2024,10,4,0.058984604536373254,0.053725088738148324,0.0628464111801734,0.04009720534629404,0.07228116710875332
2024-2025,1,6,0.05916989716254778,0.050220750551876386,0.09803864529710705,0.04943679599499375,0.12539851222104145
2024-2025,2,2,0.061254441851174346,0.059944490001892406,0.0625643937004563,0.05863453815261046,0.06387434554973824
2024-2025,3,6,0.058140083569810735,0.05666830159784085,0.07228263088791448,0.04088471849865953,0.14482758620689648
2024-2025,4,8,0.07637966202126328,0.07010662274618586,0.09830327200713376,0.06392931392931393,0.15813253012048192
2024-2025,5,6,0.0746851076460836,0.06620732541508614,0.08370572892471338,0.06131207847946044,0.0968681718863802
2024-2025,6,5,0.06207616066770994,0.056541748849441166,0.06777713957495692,0.04429390307451797,0.07264722069345074
2024-2025,7,3,0.0971993410214168,0.0955717202001494,0.11192898293531636,0.093944099378882,0.12665862484921594
2024-2025,8,6,0.15145865755832422,0.11376032969461895,0.15866688467850698,0.07836570663094442,0.1713100177830468
2024-2025,9,4,0.07600059450884958,0.06962473647656102,0.09420857479851345,0.05785837651122625,0.14147130153597415
2024-2025,10,4,0.07890361029079204,0.0775643427385653,0.08626552179888868,0.07496325330720235,0.10693454309786135
2025-2026,1,6,0.11859994723419226,0.10741178846542224,0.18361944016668177,0.10450623202301057,0.336231884057971
2025-2026,2,2,0.09787340047433957,0.09301621622679812,0.102730584721881,0.08815903197925669,0.10758776896942243
2025-2026,3,6,0.09306055615137124,0.08206750631743612,0.10095149652965148,0.07862679955703211,0.17849462365591398
2025-2026,4,8,0.10394346649105879,0.09758557812318451,0.12455098041191409,0.060165975103734455,0.1539708265802269
2025-2026,5,6,0.1505823792931807,0.11963414634146344,0.18010500545110267,0.10278372591006422,0.19387755102040813
2025-2026,6,5,0.09407985314364387,0.0814814814814815,0.10032894736842105,0.0707635009310987,0.13748854262144825
2025-2026,7,3,0.1469038208168643,0.1321542791005022,0.21657927484727202,0.11740473738414009,0.2862547288776798
2025-2026,8,6,0.23291711586023212,0.17156002875629045,0.27818495653151465,0.12424503882657467,0.29820051413881743
2025-2026,9,4,0.15188262012909395,0.11709591173683498,0.18404598767022134,0.10602409638554217,0.18724778046811943
2025-2026,10,4,0.13570390288772066,0.11674989713088692,0.1557134690358375,0.11127819548872181,0.16435185185185186
