Group,Season,N,Median Outside Fraction,Q25,Q75,"Total RSV ED visit percentage of total ED visits, all ages (sum of weekly values)"
HHS Region 1,2023-2024,6,0.040870595079787235,0.03949694511217949,0.04294152338610897,
HHS Region 10,2023-2024,4,0.058997714218529014,0.053725088738148324,0.06286607570340703,
HHS Region 2,2023-2024,2,0.05440987583844727,0.05193021264449836,0.056889539032396186,
HHS Region 3,2023-2024,6,0.05924850520736592,0.04332988753073138,0.07780689321010173,
HHS Region 4,2023-2024,8,0.10106360265860173,0.0864607656211854,0.1617914860406369,
HHS Region 5,2023-2024,6,0.05307076317544166,0.04927542589528014,0.05875002865855058,
HHS Region 6,2023-2024,5,0.0414727041895895,0.03940605368360936,0.09710610932475885,
HHS Region 7,2023-2024,4,0.07092361683460506,0.04987977079709404,0.07846631963979006,
HHS Region 8,2023-2024,6,0.10979879645864452,0.0696444858250361,0.1182600973818646,
HHS Region 9,2023-2024,4,0.05835169772566809,0.05335435473004036,0.07371403106697226,
National (weighted),2023-2024,51,0.07223587223587222,,,814.0000000000001
HHS Region 1,2024-2025,6,0.05916989716254778,0.050220750551876386,0.09803864529710705,
HHS Region 10,2024-2025,4,0.07884983261597323,0.0775643427385653,0.08618485528666046,
HHS Region 2,2024-2025,2,0.061254441851174346,0.059944490001892406,0.0625643937004563,
HHS Region 3,2024-2025,6,0.058140083569810735,0.05666830159784085,0.07228263088791448,
HHS Region 4,2024-2025,8,0.07637966202126328,0.07010662274618586,0.0985536085112084,
HHS Region 5,2024-2025,6,0.07430804705738508,0.06601879512073688,0.08370572892471338,
HHS Region 6,2024-2025,5,0.06207616066770994,0.056541748849441166,0.06781609195402301,
HHS Region 7,2024-2025,4,0.11192898293531636,0.09638553061078309,0.16308339953122092,
HHS Region 8,2024-2025,6,0.15145865755832422,0.11376032969461895,0.15866688467850698,
HHS Region 9,2024-2025,4,0.07600059450884958,0.06962473647656102,0.09438194489109505,
National (weighted),2024-2025,51,0.0877098519991164,,,724.32
HHS Region 1,2025-2026,6,0.15816694487245336,0.14072704622561494,0.2342819787255348,
HHS Region 10,2025-2026,4,0.1851499552787747,0.16167720102919791,0.20993319986925968,
HHS Region 2,2025-2026,2,0.1292295797707841,0.12319219574313263,0.13526696379843553,
HHS Region 3,2025-2026,6,0.13225230423160633,0.11373018632646698,0.1508992041113619,
HHS Region 4,2025-2026,8,0.1625376599002321,0.1413915135455528,0.18461893854603187,
HHS Region 5,2025-2026,6,0.2043723818386584,0.15919841039061744,0.23577854239842103,
HHS Region 6,2025-2026,5,0.13544415127528586,0.1268598277212216,0.1379038613081166,
HHS Region 7,2025-2026,4,0.16326122198280205,0.1463120648671356,0.22384265491093464,
HHS Region 8,2025-2026,6,0.3183883444106493,0.2301218141786608,0.3745252974852381,
HHS Region 9,2025-2026,4,0.22066288594833022,0.1632938496583144,0.2796993043955156,
National (weighted),2025-2026,51,0.19154140209926132,,,617.3600000000001
